title,distributor,summary,theaters_count,week_gross,total_gross,sales_ending_week
Wonka,Warner Bros.,"With dreams of opening a shop in a city renowned for its chocolate, a young and poor Willy Wonka discovers that the industry is run by a cartel of greedy chocolatiers.","3,817","$17,589,553","$167,813,855",2024-01-11
Night Swim,Universal Pictures,"A family moves into a new home, unaware that a dark secret from the house's past will unleash a malevolent force in the backyard pool.","3,250","$14,510,415","$14,510,415",2024-01-11
Anyone But You,Columbia Pictures,"After an amazing first date, Bea and Ben's fiery attraction turns ice-cold--until they find themselves unexpectedly reunited at a wedding in Australia. So they do what any two mature adults would do: pretend to be a couple.","3,055","$14,025,726","$48,239,370",2024-01-11
Aquaman and the Lost Kingdom,Warner Bros.,"Black Manta seeks revenge on Aquaman for his father's death. Wielding the Black Trident's power, he becomes a formidable foe. To defend Atlantis, Aquaman forges an alliance with his imprisoned brother. They must protect the kingdom.","3,553","$13,552,068","$102,963,347",2024-01-11
Migration,Universal Pictures,A family of ducks try to convince their overprotective father to go on the vacation of a lifetime.,"3,712","$11,995,500","$79,565,635",2024-01-11
The Boys in the Boat,Amazon MGM Studios,"A 1930s-set story centered on the University of Washington's rowing team, from their Depression-era beginnings.","2,687","$7,954,484","$35,831,103",2024-01-11
The Iron Claw,A24,"The true story of the inseparable Von Erich brothers, who made history in the intensely competitive world of professional wrestling in the early 1980s.","2,392","$6,420,106","$26,235,160",2024-01-11
The Color Purple,Warner Bros.,"A woman faces many hardships in her life, but ultimately finds extraordinary strength and hope in the unbreakable bonds of sisterhood.","3,218","$6,093,413","$55,949,846",2024-01-11
Ferrari,Neon,"Set in the summer of 1957, with Enzo Ferrari's auto empire in crisis, the ex-racer turned entrepreneur pushes himself and his drivers to the edge as they launch into the Mille Miglia, a treacherous 1,000-mile race across Italy.","2,121","$3,378,646","$16,879,105",2024-01-11
Poor Things,Searchlight Pictures,"An account of the fantastical evolution of Bella Baxter, a young woman brought back to life by the brilliant and unorthodox scientist Dr. Godwin Baxter.",750,"$3,296,065","$15,523,307",2024-01-11
The Boy and the Heron,GKIDS,"In the wake of his mother's death and his father's remarriage, a headstrong boy ventures into a dreamlike world shared by the living and the dead in search of his missing stepmother.",910,"$2,702,639","$40,588,271",2024-01-11
Godzilla Minus One,Toho International,"Post-war Japan is at its lowest point when a new crisis emerges in the form of a giant monster, baptized in the horrific power of the atomic bomb.","1,050","$2,426,074","$49,866,917",2024-01-11
The Hunger Games: The Ballad of Songbirds & Snakes,Lionsgate,Coriolanus Snow mentors and develops feelings for the female District 12 tribute during the 10th Hunger Games.,"1,428","$2,386,683","$164,388,255",2024-01-11
Trolls Band Together,Universal Pictures,"Poppy discovers that Branch was once part of the boy band 'BroZone' with his brothers, Floyd, John Dory, Spruce and Clay. When Floyd is kidnapped, Branch and Poppy embark on a journey to reunite his two other brothers and rescue Floyd.","1,137","$1,515,245","$100,725,580",2024-01-11
American Fiction,Metro-Goldwyn-Mayer (MGM),A novelist who's fed up with the establishment profiting from Black entertainment uses a pen name to write a book that propels him into the heart of the hypocrisy and madness he claims to disdain.,114,"$1,345,198","$3,315,205",2024-01-11
Wish,Walt Disney Studios Motion Pictures,A young girl wishes on a star and gets a more direct answer than she bargained for when a trouble-making star comes down from the sky to join her.,900,"$998,025","$62,817,619",2024-01-11
All of Us Strangers,Searchlight Pictures,A screenwriter drawn back to his childhood home enters into a fledgling relationship with his downstairs neighbor while discovering a mysterious new way to heal from losing his parents 30 years ago.,42,"$618,931","$1,059,678",2024-01-11
Napoleon,Columbia Pictures,"An epic that details the chequered rise and fall of French Emperor Napoleon Bonaparte and his relentless journey to power through the prism of his addictive, volatile relationship with his wife, Josephine.",337,"$399,226","$61,303,315",2024-01-11
Renaissance: A Film by Beyoncé,AMC Theatres,"Beyoncé in performance at her record-breaking RENAISSANCE World Tour, and the creative mastermind behind it.",182,"$346,259","$33,889,684",2024-01-11
Salaar,N/A,"The fate of a violently contested kingdom hangs on the fraught bond between two friends-turned-foes in this saga of power, bloodshed and betrayal.",161,"$198,401","$8,893,552",2024-01-11
