title,author,summary,isbn10,isbn13,sales_ending_week,NYT_category,GB_genres
TO DIE FOR,David Baldacci,The third book in the 6:20 Man series. Devine digs into the deaths of an orphan\u2019s parents and uncovers a large conspiracy.,1538757931,9781538757932,2024-11-16,combined-print-and-e-book-fiction,TypeError
FOURTH WING,Rebecca Yarros,"Violet Sorrengail is urged by the commanding general, who also is her mother, to become a candidate for the elite dragon riders.",1649377371,9781649377371,2024-11-16,combined-print-and-e-book-fiction,TypeError
THE WOMEN,Kristin Hannah,"In 1965, a nursing student follows her brother to serve during the Vietnam War and returns to a divided America.",1250178630,9781250178633,2024-11-16,combined-print-and-e-book-fiction,"['literary', 'family life', 'fiction', 'marriage & divorce', 'women']"
THE BOYFRIEND,Freida McFadden,A series of recent deaths causes Sydney Shaw to become suspicious of the handsome doctor she started dating.,1728296226,9781728296227,2024-11-16,combined-print-and-e-book-fiction,"['action & adventure', 'suspense', 'christian', 'fiction', 'thrillers', 'military']"
A COURT OF THORNS AND ROSES,Sarah J. Maas,"After killing a wolf in the woods, Feyre is taken from her home and placed inside the world of the Fae.",1635575567,9781635575569,2024-11-16,combined-print-and-e-book-fiction,"['romance', 'games & activities', 'coloring books', 'fiction', 'general', 'fairy tales', 'folk tales', 'legends & mythology', 'fantasy']"
THE HOUSEMAID,Freida McFadden,Troubles surface when a woman looking to make a fresh start takes a job in the home of the Winchesters.,1538742578,9781538742570,2024-11-16,combined-print-and-e-book-fiction,"['action & adventure', 'suspense', 'christian', 'fiction', 'thrillers', 'military']"
IN TOO DEEP,Lee Child and Andrew Child,The 29th book in the Jack Reacher series. Reacher wakes up in a precarious position with no memory of how he got there.,0593725808,9780593725801,2024-11-16,combined-print-and-e-book-fiction,"['action & adventure', 'suspense', 'fiction', 'thrillers', 'military']"
HOW MY NEIGHBOR STOLE CHRISTMAS,Meghan Quinn,A fake relationship and a Christmas contest may lead to unexpected consequences.,1464230153,9781464230158,2024-11-16,combined-print-and-e-book-fiction,"['fiction', 'romance', 'contemporary']"
JAMES,Percival Everett,"A reimagining of \u201cAdventures of Huckleberry Finn\u201d shines a different light on Mark Twain's classic, revealing new facets of the character of Jim.",0385550367,9780385550369,2024-11-16,combined-print-and-e-book-fiction,"['literary', 'coming of age', 'historical', 'fiction', 'general']"
LIGHTS OUT,Navessa Allen,"As Aly and Josh live out their dark fantasies, someone with sinister intentions impinges on them.",1638932239,9781638932239,2024-11-16,combined-print-and-e-book-fiction,"['psychological', 'black humor', 'literary', 'suspense', 'humorous', 'fiction', 'thrillers', 'general', 'horror']"
THE FROZEN RIVER,Ariel Lawhon,"In Maine, 1789, a midwife seeks to uncover the true cause of the death of a man discovered entombed in the Kennebec River.",0593312074,9780593312070,2024-11-16,combined-print-and-e-book-fiction,"['suspense', 'historical', 'fiction', 'mystery & detective', 'thrillers', 'general']"
WICKED,Gregory Maguire,A misunderstood girl named Elphaba is declared a witch; the basis of the musical and the film.,0062852841,9780062852847,2024-11-16,combined-print-and-e-book-fiction,"['paranormal', 'literary', 'coming of age', 'adaptations & pastiche', 'sagas', 'fiction', 'science fiction', 'political', 'epic', 'general', 'fairy tales', 'folk tales', 'legends & mythology', 'women', 'contemporary', 'fantasy']"
MELANIA,Melania Trump,"The former and future first lady describes her work as a fashion model, marriage to Donald Trump and time in the White House.",1510782699,9781510782693,2024-11-16,combined-print-and-e-book-nonfiction,"['history', 'renaissance', 'tudor & elizabethan era (1485-1603)', 'political science', 'europe', 'women in politics', 'women', 'great britain']"
ON TYRANNY,Timothy Snyder,Twenty lessons from the 20th century about the course of tyranny.,0804190119,9780804190114,2024-11-16,combined-print-and-e-book-nonfiction,"['history', 'essays', 'modern', '20th century', 'political science', 'civics & citizenship', 'general', 'social science']"
HILLBILLY ELEGY,JD Vance,"The vice president-elect, in a memoir written shortly after graduating from Yale Law School, looks at the struggles of the white working class through the story of his own childhood.",0062300555,9780062300553,2024-11-16,combined-print-and-e-book-nonfiction,"['faith', 'ethnic studies', 'essays', 'psychology', 'state & local', 'american', 'women', 'history', '21st century', 'religion', 'politics & state', 'general', 'religion', 'rural', 'business & economics', 'political', 'biography & autobiography', 'social science', 'poverty & homelessness', 'united states', 'anthropology', 'economic conditions', 'personal memoirs', 'social classes & economic disparity', 'social psychology', 'sociology', 'cultural & social']"
FRAMED,John Grisham and Jim McCloskey,Our criminal justice system viewed through the struggles of 10 wrongfully convicted people to achieve exoneration.,0385550448,9780385550444,2024-11-16,combined-print-and-e-book-nonfiction,"['murder', 'true crime', 'religious', 'social activists', 'biography & autobiography', 'general']"
THE WAR ON WARRIORS,Pete Hegseth,"The former \""Fox & Friends Weekend\"" host shares his experiences serving in the Army and his views on the current state of the American military.",0063389428,9780063389427,2024-11-16,combined-print-and-e-book-nonfiction,"['religion & science', 'parenting', 'federal legislation', 'social issues', 'history', 'christian theology', 'educational policy & reform', 'education', 'civics & citizenship', 'christian education', 'general', 'psychology of religion', 'aims & objectives', 'religion', 'history & theory', 'social policy', 'christian living', 'commentary & opinion', 'christianity', 'philosophy', 'theory & social aspects', 'political science', 'cultural policy', 'public policy']"
THE ANXIOUS GENERATION,Jonathan Haidt,A co-author of \u201cThe Coddling of the American Mind\u201d looks at the mental health impacts that a phone-based life has on children.,0593655036,9780593655030,2024-11-16,combined-print-and-e-book-nonfiction,"['history', 'social aspects', 'group shows', 'technology & engineering', 'art', 'contemporary (1945-)', 'collections', 'catalogs', 'exhibitions']"
REVENGE OF THE TIPPING POINT,Malcolm Gladwell,"Through a series of stories, Gladwell explicates the causes of various kinds of epidemics.",0316575801,9780316575805,2024-11-16,combined-print-and-e-book-nonfiction,"['history', 'philosophy & social aspects', 'social history', 'philosophy', 'general', 'science']"
CONFRONTING THE PRESIDENTS,Bill O'Reilly and Martin Dugard,The conservative commentator evaluates the legacies of American presidents.,125034641X,9781250346414,2024-11-16,combined-print-and-e-book-nonfiction,"['general', 'history']"
BE READY WHEN THE LUCK HAPPENS,Ina Garten,A memoir by the cookbook author and Food Network host known as the Barefoot Contessa.,0593799895,9780593799895,2024-11-16,combined-print-and-e-book-nonfiction,"['quick & easy', 'cooking', 'methods']"
FROM HERE TO THE GREAT UNKNOWN,Lisa Marie Presley and Riley Keough,"Presley\u2019s memoir, completed by her daughter, explores her relationships and challenges.",0593733878,9780593733875,2024-11-16,combined-print-and-e-book-nonfiction,"['entertainment & performing arts', 'family & relationships', 'personal memoirs', 'biography & autobiography', 'death', 'grief', 'bereavement']"
THE MESSAGE,Ta-Nehisi Coates,The author of \u201cBetween the World and Me\u201d travels to three locations to uncover the dissonance between the realities on the ground and the narratives shaped about them.,0593230388,9780593230381,2024-11-16,combined-print-and-e-book-nonfiction,"['personal memoirs', 'biography & autobiography']"
THE BODY KEEPS THE SCORE,Bessel van der Kolk,"How trauma affects the body and mind, and innovative treatments for recovery.",0143127748,9780143127741,2024-11-16,combined-print-and-e-book-nonfiction,"['mental health', 'psychiatry', 'psychology', 'post-traumatic stress disorder (ptsd)', 'general', 'medical', 'psychopathology']"
TO DIE FOR,David Baldacci,The third book in the 6:20 Man series. Devine digs into the deaths of an orphan\u2019s parents and uncovers a large conspiracy.,1538757907,9781538757901,2024-11-16,hardcover-fiction,"['action & adventure', 'suspense', 'amateur sleuth', 'fiction', 'mystery & detective', 'thrillers', 'crime', 'general']"
THE WOMEN,Kristin Hannah,"In 1965, a nursing student follows her brother to serve during the Vietnam War and returns to a divided America.",1250178630,9781250178633,2024-11-16,hardcover-fiction,"['literary', 'family life', 'fiction', 'marriage & divorce', 'women']"
IRON FLAME,Rebecca Yarros,The second book in the Empyrean series. Violet Sorrengail\u2019s next round of training under the new vice commandant might require her to betray the man she loves.,1649374178,9781649374172,2024-11-16,hardcover-fiction,"['historical', 'sagas', 'fiction', 'arthurian', 'general', 'fantasy']"
JAMES,Percival Everett,"A reimagining of \u201cAdventures of Huckleberry Finn\u201d shines a different light on Mark Twain's classic, revealing new facets of the character of Jim.",0385550367,9780385550369,2024-11-16,hardcover-fiction,"['literary', 'coming of age', 'historical', 'fiction', 'general']"
THE COURTING OF BRISTOL KEATS,Mary E. Pearson,"After a tragedy, Bristol travels to a dangerous world to try to save her father.",1250331978,9781250331977,2024-11-16,hardcover-fiction,"['romance', 'fiction', 'dragons & mythical creatures', 'fairy tales', 'folk tales', 'legends & mythology', 'fantasy']"
COUNTING MIRACLES,Nicholas Sparks,A man in search of the father he never knew encounters a single mom and rumors circulate of the nearby appearance of a white deer.,0593449592,9780593449592,2024-11-16,hardcover-fiction,"['romance', 'family life', 'fiction', 'general', 'women', 'contemporary']"
IN TOO DEEP,Lee Child and Andrew Child,The 29th book in the Jack Reacher series. Reacher wakes up in a precarious position with no memory of how he got there.,0593725808,9780593725801,2024-11-16,hardcover-fiction,"['action & adventure', 'suspense', 'fiction', 'thrillers', 'military']"
THE WAITING,Michael Connelly,"The sixth book in the Ballard and Bosch series. Bosch\u2019s daughter, Maddie, becomes a new volunteer on the cold case unit.",031656379X,9780316563796,2024-11-16,hardcover-fiction,"['literary', 'fiction', 'city life', 'mystery & detective', 'thrillers', 'crime', 'police procedural']"
COURT OF THE VAMPIRE QUEEN,Katee Robert,Mina encounters three vampire men and weighs whether to face down her father.,1464230323,9781464230325,2024-11-16,hardcover-fiction,"['suspense', 'romance', 'fiction', 'contemporary', 'fantasy']"
THE GREY WOLF,Louise Penny,The 19th book in the Chief Inspector Gamache series. Shifting alliances complicate the frenzied pursuit of a sinister threat.,1250328136,9781250328137,2024-11-16,hardcover-fiction,"['international crime & mystery', 'mystery & detective', 'fiction', 'traditional']"
THE GOD OF THE WOODS,Liz Moore,"When a 13-year-old girl disappears from an Adirondack summer camp in 1975, secrets kept by the Van Laar family emerge.",0593418913,9780593418918,2024-11-16,hardcover-fiction,"['literary', 'family life', 'fiction', 'siblings', 'thrillers', 'general']"
BUTCHER & BLACKBIRD,Brynne Weaver,A friendship between the rival murderers Sloane and Rowan develops into something more.,1638932352,9781638932352,2024-11-16,hardcover-fiction,"['general', 'poetry']"
