,table_name,table_artist,table_data,table_key,table_camelot,table_bpm,table_energy,table_link,table_descr
0,What Was That,Lorde,2025-04-24,C Major,8B,168,6,/track/2jNyiavSywmA472t2m6ZBz/What-Was-That-by-Lorde,"""What Was That"" by Lorde had its release date on April 24, 2025. The duration of This song is about 3 minutes long, at 3:29. Based on our data, This song appears to be safe for all ages and is not considered explicit. This track is about the average length of a typical track. Since What Was That only contains only one song in the album, we like to consider this song as a single. Based on our data, New Zealand was the country where this track was produced or recorded. The popularity of What Was That is currently pretty popular right now. Although the tone can be danceable to some, this track does projects more of a negative sound rather than a postive one. "
1,Mystical Magical,Benson Boone,2025-04-24,B Major,1B,120,7,/track/221eHga9f9Ne4f8D7WVgPT/Mystical-Magical-by-Benson-Boone,"On April 24, 2025, the song ""Mystical Magical"" was released by Benson Boone. The duration of This song is about two minutes long, specifically at 2:45. This song does not appear to have any foul language. Mystical Magical's duration is considered a little bit shorter than the average duration of a typical track. Because this song is the only song in Mystical Magical and no other songs are present in the album, we classify this track as a single. On top of that, United States appears to be the country where this track was created. Based on our statistics, Mystical Magical's popularity is unknown right now. The overall tone is very danceable, especially with its high energy, which produces more of a euphoric, cheerful, or happy vibe. "
2,Is This Really Love?,d4vd,2025-04-25,A♭ Major,4B,160,7,/track/0h2vooD5PFOykbPon6ShIZ/Is-This-Really-Love-by-d4vd,"d4vd's ' ""Is This Really Love?"" was released on its scheduled release date, April 25, 2025. The duration of This song is about 3 minutes long, at 3:15. Based on our data, This song appears to be safe for all ages and is not considered explicit. This track is about the average length of a typical track. This song is part of WITHERED by d4vd. The song's track number on the album is #9 out of 15 tracks. Based on our data, United States was the country where this track was produced or recorded. The popularity of Is This Really Love? is currently unknown right now. Based on the vibe, this track doesn't seem to be that danceable, however its valence properties can make this some somewhat danceable. "
3,Money On Money (feat. Future),"Young Thug, Future",2025-04-25,B♭ Minor,3A,120,7,/track/5eW508Gq23QlXHowyzW39m/Money-On-Money-feat-Future-by-Young-Thug-Future,"""Money On Money (feat. Future)"" by Young Thug, Future had its release date on April 25, 2025. Money On Money (feat. Future) is explicit and may not be suitable for children. With the duration being about 3:56, this song is close to the average duration of a typical track. Because this song is the only song in Money On Money (feat. Future) and no other songs are present in the album, we classify this track as a single. On top of that, United States appears to be the country where this track was created. Based on our statistics, Money On Money (feat. Future)'s popularity is unknown right now. Although the overall vibe is very danceable, it does project more negative sounds. "
4,ILYSMIH,Kali Uchis,2025-04-25,C Major,8B,126,7,/track/3WvPycGo4WJEEGYP429aap/ILYSMIH-by-Kali-Uchis,"Kali Uchis's ' ""ILYSMIH"" was released on its scheduled release date, April 25, 2025. With this song being around four minutes long, at 3:33, the duration of this song is pretty average compared to other songs. This track is safe for children and doesn't appear to contain any foul language, since the ""Explicit"" tag was not present in this track. The track order of this song in Kali Uchis's ""ILYSMIH"" album is number 1 out of 2. On top of that, United States appears to be the country where this track was created. Based on our statistics, ILYSMIH's popularity is unknown right now. Since there is more of a neutral sound being played, this makes the track somewhat danceable."
5,Amen,"Shaboozey, Jelly Roll",2025-04-25,A♭ Major,4B,81,5,/track/2iSfSJrho5XkU2NmAnZ9ZV/Amen-by-Shaboozey-Jelly-Roll,"Shaboozey, Jelly Roll's 'Amen' had a release date set for April 25, 2025. The duration of This song is about 3 minutes long, at 3:17. Based on our data, This song appears to be safe for all ages and is not considered explicit. This track is about the average length of a typical track. This song is part of Where I've Been, Isn't Where I'm Going: The Complete Edition by Shaboozey. The song's track number on the album is #13 out of 18 tracks. Based on our data, United States was the country where this track was produced or recorded. Amen is unknown right now. Although the overall vibe is very danceable, it does project more negative sounds. "
6,"At The Beach, In Every Life",Gigi Perez,2025-04-25,D♭ Major,3B,84,4,/track/5LfgzPHvka22FdRAxOme6m/At-The-Beach-In-Every-Life-by-Gigi-Perez,"Gigi Perez's 'At The Beach, In Every Life' had a release date set for April 25, 2025. With this song being around four minutes long, at 3:57, the duration of this song is pretty average compared to other songs. This track is safe for children and doesn't appear to contain any foul language, since the ""Explicit"" tag was not present in this track. The song is number 12 out of 12 in At The Beach, In Every Life by Gigi Perez. Going off of the ISRC code of this track, we detected that the origin of this track is from United States. At The Beach, In Every Life is unknown right now. Although the tone can be danceable to some, this track does projects more of a negative sound rather than a postive one. "
7,Whenever,Megan Thee Stallion,2025-04-25,B♭ Minor,3A,120,7,/track/4oVUfLx1BVgXbPXc0MlPkr/Whenever-by-Megan-Thee-Stallion,"""Whenever"" by Megan Thee Stallion had its release date on April 25, 2025. Whenever is 2 minutes and 45 seconds long and may contain bad words that may be unsuitable for children. Since Whenever only contains only one song in the album, we like to consider this song as a single. Based on our data, United States was the country where this track was produced or recorded. Based on our statistics, Whenever's popularity is unknown right now. Although the overall vibe is very danceable, it does project more negative sounds. "
8,Down to be wrong,HAIM,2025-04-24,C Major,8B,165,7,/track/2d18juMmmN1KwjFtfEj0FP/Down-to-be-wrong-by-HAIM,"HAIM's ' ""Down to be wrong"" was released on its scheduled release date, April 24, 2025. With this song being around four minutes long, at 4:09, the duration of this song is pretty average compared to other songs. This track is safe for children and doesn't appear to contain any foul language, since the ""Explicit"" tag was not present in this track. The song is number 1 out of 3 in Down to be wrong by HAIM. Going off of the ISRC code of this track, we detected that the origin of this track is from United Kingdom. The popularity of Down to be wrong is currently unknown right now. Since there is more of a neutral sound being played, this makes the track somewhat danceable."
9,Brunette,Tucker Wetmore,2025-04-25,F♯ Major,2B,115,7,/track/21T9HvQ0KUWFDum6P1Qc7i/Brunette-by-Tucker-Wetmore,"Tucker Wetmore's ' ""Brunette"" was released on its scheduled release date, April 25, 2025. The duration of This song is about two minutes long, specifically at 2:19. This song does not appear to have any foul language. Brunette's duration is considered a little bit shorter than the average duration of a typical track. This song is part of What Not To by Tucker Wetmore. The song's track number on the album is #6 out of 19 tracks. Based on our data, United States was the country where this track was produced or recorded. In terms of popularity, Brunette is currently unknown. The overall tone is very danceable, especially with its high energy, which produces more of a euphoric, cheerful, or happy vibe. "
